time,encoderLeft,encoderRight
85.802,-0.0009867531480267644,-0.0010991471353918314
85.902,-0.0009879883145913482,-0.0011005046544596553
86.002,-0.000989226740784943,-0.0011018650839105248
86.101,-0.0009904684266075492,-0.0011032276088371873
86.202,-0.0009917065035551786,-0.0011045853607356548
86.302,-0.0009929483057931066,-0.0011059485841542482
86.4,-0.0009941674070432782,-0.001107292016968131
86.502,-0.0009953426197171211,-0.001108598429709673
86.602,-0.0009732425096444786,-0.0011331390123814344
86.706,0.0013730906648561358,-0.0034829452633857727
86.801,0.0037211517337709665,-0.005834393668919802
86.902,0.006069152150303125,-0.00818590633571148
87.003,0.008417189121246338,-0.01053739432245493
87.102,0.010765197686851025,-0.012888877652585506
87.2,0.013113210909068584,-0.015240377746522427
87.303,0.01546124741435051,-0.0175918135792017
87.399,0.017809264361858368,-0.01994333416223526
87.502,0.020157283172011375,-0.02229483239352703
87.602,0.02250530943274498,-0.024646319448947906
87.703,0.02485336922109127,-0.026997772976756096
87.802,0.027201343327760696,-0.029349280521273613
87.902,0.029549427330493927,-0.031700730323791504
88.002,0.031897395849227905,-0.034052252769470215
88.102,0.034245409071445465,-0.03640373796224594
88.202,0.036593470722436905,-0.03875519335269928
88.302,0.03894148766994476,-0.04110666736960411
88.398,0.04128952696919441,-0.043458156287670135
88.5,0.04363751783967018,-0.045809656381607056
88.601,0.04598554968833923,-0.048161134123802185
88.697,0.04833360016345978,-0.05051259696483612
88.796,0.05068160220980644,-0.052864111959934235
88.901,0.053029615432024,-0.05521559715270996
89.003,0.055377647280693054,-0.05756707489490509
89.102,0.057725656777620316,-0.059918567538261414
89.202,0.060073722153902054,-0.062270019203424454
89.302,0.06242173910140991,-0.06462151557207108
89.402,0.06476976722478867,-0.06697297096252441
89.502,0.06711778044700623,-0.06932446360588074
89.601,0.06946583092212677,-0.07167593389749527
89.699,0.07181388884782791,-0.07402737438678741
89.801,0.07416186481714249,-0.07637890428304672
89.895,0.07650991529226303,-0.07873034477233887
90.002,0.0788579210639,-0.081081822514534
90.099,0.08120596408843994,-0.08343330770730972
90.192,0.08355402946472168,-0.08578474819660187
90.302,0.08590200543403625,-0.08813625574111938
90.402,0.08825007826089859,-0.09048768877983093
90.502,0.09059809148311615,-0.09283918887376785
90.604,0.09294610470533371,-0.09519067406654358
90.702,0.09529415518045425,-0.0975421592593193
90.802,0.0976421907544136,-0.09989361464977264
90.902,0.09999019652605057,-0.10224509984254837
91.002,0.1023382693529129,-0.10459654778242111
91.101,0.10468626767396927,-0.10694804042577744
91.202,0.10703430324792862,-0.10929952561855316
91.302,0.10938233137130737,-0.1116509959101677
91.402,0.11173034459352493,-0.11400248855352402
91.503,0.11407836526632309,-0.11635395884513855
91.602,0.11642638593912125,-0.11870544403791428
91.702,0.1187744289636612,-0.12105687707662582
91.802,0.12112245708703995,-0.12340837717056274
91.902,0.12347045540809631,-0.12575985491275787
92,0.12581849098205566,-0.1281113475561142
92.102,0.12816652655601501,-0.13046278059482574
92.201,0.13051454722881317,-0.13281424343585968
92.303,0.13286253809928894,-0.1351657658815384
92.402,0.1352105587720871,-0.13751724362373352
92.502,0.13755860924720764,-0.13986870646476746
92.598,0.1399066299200058,-0.1422201693058014
92.7,0.14225466549396515,-0.14457166194915771
92.803,0.14460265636444092,-0.14692315459251404
92.904,0.1469506472349167,-0.14927464723587036
93.002,0.14929869771003723,-0.1516261100769043
93.102,0.151646688580513,-0.15397761762142181
93.201,0.15399472415447235,-0.15632908046245575
93.302,0.15634272992610931,-0.15868055820465088
93.402,0.15869075059890747,-0.1610320657491684
93.505,0.16103877127170563,-0.16338352859020233
93.602,0.16355744004249573,-0.16556644439697266
93.702,0.18355265259742737,-0.1455739587545395
93.8,0.20355139672756195,-0.12557539343833923
93.901,0.22355012595653534,-0.10557682067155838
94.002,0.24336504936218262,-0.08575472235679626
94.101,0.2411918342113495,-0.08323253691196442
94.201,0.26118579506874084,-0.06323692202568054
94.302,0.28118452429771423,-0.04323817417025566
94.402,0.30118316411972046,-0.023239532485604286
94.493,0.3209981918334961,-0.0034173778258264065
94.6,0.31865426898002625,-0.0010628903983160853
94.702,0.3164743483066559,0.001453142729587853
94.802,0.3364684581756592,0.0214485302567482
94.9,0.3564671277999878,0.041447173804044724
95.002,0.3764657974243164,0.061445798724889755
95.101,0.396280437707901,0.08126793801784515
95.202,0.393936425447464,0.0836222693324089
95.302,0.3917563557624817,0.0861380398273468
95.401,0.41174986958503723,0.10613349825143814
95.5,0.43174850940704346,0.1261322796344757
95.602,0.4515628218650818,0.14595447480678558
95.702,0.44921910762786865,0.14830881357192993
95.801,0.44686904549598694,0.15065759420394897
95.901,0.44468793272972107,0.1531754583120346
96.002,0.4646809995174408,0.1731707751750946
96.101,0.4846794903278351,0.1931696981191635
96.202,0.5046780109405518,0.2131684422492981
96.303,0.5244926810264587,0.23299069702625275
96.401,0.5221492052078247,0.23534511029720306
96.5,0.5197991132736206,0.23769395053386688
96.602,0.5176168084144592,0.2402070015668869
96.701,0.5376095771789551,0.2602013349533081
96.802,0.5576081871986389,0.2802002429962158
96.902,0.5774226784706116,0.3000224828720093
96.999,0.5750792026519775,0.302376925945282
97.102,0.5727291107177734,0.3047257959842682
97.202,0.570545494556427,0.30724194645881653
97.302,0.5905389785766602,0.32723623514175415
97.401,0.6105378270149231,0.3472350537776947
97.502,0.6303526759147644,0.367057204246521
97.601,0.6280096173286438,0.36941224336624146
97.702,0.6258256435394287,0.3719237744808197
97.801,0.6458184719085693,0.39191851019859314
